month,department,expenditure_gbp_millions,gdp_growth_pct,category
2024-10,HCD,-,0.2,housing
2023-3,ESA,6398,0.6,education
2023-03,EPB,2060,-0.1,environment
2024-06,HSE,,0.5,health
2024-01,EPB,2143,NULL,environment
2024-11,ITB,5167,,infrastructure
2023-10,environment protection bureau,1900,0.5,environment
2022-02,HSE,£9174,n/a,health
2023-05,NDO,3741M,0.8,defence
2023-02,HCD,NULL,0.5,housing
2023-09,RCA,4113,-0.1,tax_collection
2024-11,RCA,4185,0.7,tax_collection
2023-02,SBD,8149,0.0,welfare benefits
2022-05,HCD,,0.4,housing communities
2022-03-01,DTO,#N/A,1.2,digital
2022-6,EPB,2097,-,env
2023-4,Revenue Collections Agency,4330,0.2,tax_collection
2022-04,RCA,4315,1.0,tax_collection
2023-05,housing & communities directorate,4654,0.8,housing
2024-04,EPB,2255,0.0,environment
Sep-2023,ESA,6135,,education
2023-11,HSE,-,1.0,health
2024-04,DTO,n/a,0.0,digital
Jul-2023,EPB,2301,0.6,Environment
2022-02,ITB,,0.6,infrastructure
2024-05,HCD,4991,0.6,housing
2023-12,HCD,#N/A,#N/A,housing
2024-07-01,SBD,8238,150,welfare
2023-07,education standards authority,-,1.3,education
2022-09,NDO,3648,,defence
2023-09,JCS,,-0.0,justice
2022-06-01,SBD,8119 ,1.3,welfare
2023-08,SBD,8021,0.9,welfare
2024-08,ITB,5233,-0.1,infrastructure
2023-06,JCS,2657,-0.2,justice
2024-06,SBD,8276,0.6,welfare
2024-03,ESA,#N/A,0.5,education
2023/12,National Defence Office ,3489,,National Defence
2023-04,JCS,2814,#N/A,justice
2023-08,Education Standards Authority ,"""6,310""",0.7,edu
2022-07,JCS,2990,0.1,justice
2023-07,education standards authority,-,1.1,education
2024/12,ITB,4914,0.5,infrastructure
12-2022,INFRASTRUCTURE & TRANSPORT BUREAU,5106,0.8,infrastructure
2024-07,HCD,4772,0.8,housing
2024-12,ESA,£6208,,education
2022-11,NDO,3537,0.7,Defence
2023-10,JCS,2875,1.0,justice
2023-04,DTO,1040,1.0,digital
2024-10,EPB,-1907,1.0,environment
2024-03,NDO,3686,0.6,defence
Jan-2023,HSE,9246,0.1,health
2022/10,EPB,2262,0.9,environment
2022-11,DTO,1208,0.3,digital
2024-03,ITB,5286,,infrastructure
2022-10,NDO,,0.3,defence
2023-12,ESA,6207,0.4,education
2022/10,EPB,2262,0.7,environment
2023-05,DTO,1079,0.0,DIGITAL
2022-10,NDO,,0.3,defence
2023-08,Education Standards Authority ,6300,0.9,edu
2022-06,DTO,1211,0.6,digital
Jan-2024,Education Standards Authority,6258,-0.1,education
2024-02,HCD,4654,0.7,HOUSING
2022-06,ESA,6156,0.0,EDUCATION
2022/05,ITB,4923,0.1,infrastructure
2024-08,DTO,1064,0.5,digital
Nov-2023,JCS,2665,0.0,justice
2024-09,ITB,£5298,0.9,infrastructure
2023-01,SBD,7907,-100,welfare
2024-07-01,SBD,8239,149.9,welfare
2022-12,NDO,3730,-0.1,defence
2024-08,HCD,4918M,0.0,housing
2022-06,HCD,-4681,0.9,housing
2023-12,hse,9000,0.3,health
2023-10,HCD,4895,0.1,housing
2023-08,NDO,3490,1.0,defence
Jan-2023,JCS,2957,,justice
07-2023,RCA,4353,1.1,tax_collection
2023-02,HCD,NULL,0.6,housing
2023-04,ESA,6209,0.5,education
2022-02,HSE,£9174,n/a,health
2024-6,ITB,5149,0.1,infrastructure
Mar-2023,SBD,-8020,0.6,welfare
2023-04,NDO,3437,-0.2,defence
2023-3,ESA,6398,0.4,education
2022-04,RCA,4325,1.0,tax_collection
2024/12,DTO,1305,n/a,digital
2024-04,EPB,2255,-0.2,environment
2023-10,DTO,1022,0.8,digital
2023-4,Revenue Collections Agency,4330,0.0,tax_collection
09-2023,EPB,2174,n/a,environment
2023-06,NDO,3426,0.0,defence
2023-03,DTO,n/a,,digital
2024-01-01,NDO,"""3,739""",0.8,defence
2024-11,DTO,1374,0.6,Digital
2023-11,HCD,-,0.4,housing
2023-05,RCA,4360,0.1,tax_collection
2023-08,ITB,4912,0.1,infrastructure
2023-12,JCS,2861,0.5,JUSTICE
2024-12-01,JCS,2864,1.0,justice
2022-01,ITB,4952,0.7,infrastructure
2023-01,SBD,7907,-99.9,welfare
2022-07,EPB,2034,1.0,environment
2023-05,NDO,3741M,0.9,defence
2022-02,ITB,,0.8,infrastructure
2023-9,DTO,1260,0.4,digital
2022-07,ESA,6157,0.2,education
2023-09,HCD,4742,,housing
2024-01-01,RCA,,0.0,tax_collection
2022-09,ESA,6344,1.1,education
2024-12,EPB,2040,0.6,environment
2023-10, National Defence Office,3705,0.4,defence
2024-11,ITB,5167,,infrastructure
2022-05,Social Benefits Directorate ,8017,1.0,welfare
Apr-2023,HCD,4667,1.1,housing
2022-07,JCS,2990,0.3,justice
2024-07-01,SBD,8239,150.1,welfare
2023-10,RCA,£4133,,tax_collection
2023-11,EPB,2256,0.2,environment
2023-12,HCD,#N/A,#N/A,housing
2022-10,RCA,4102,0.8,tax_collection
01-2024,ITB,5071,-0.1,infrastructure
07-2024, Education Standards Authority,6208,0.5,education
2022-01,NDO,3514,-0.2,defence
2024-08,ESA,6202,1.0,education
2023-01,HCD,4684,0.3,housing
12-2022,INFRASTRUCTURE & TRANSPORT BUREAU,5111,0.8,infrastructure
2023-07,ITB,4975,-99,infrastructure
2024/12,ITB,4914,0.6,infrastructure
2023-07,HCD,4707,0.9,housing
2023-12,EPB,2126,0.7,environment
2022-11,DTO,1208,0.2,digital
2022-06,ITB,4970,,infrastructure
2023-05,Health Services Executive ,,1.0,health
Jan-2024,Education Standards Authority,6258,0.1,education
2022-11,NDO,3542,0.8,Defence
2024-10,NDO,"""3,750""",0.4,defence
2024-06,EPB,2129,1.1,environment
2022-12,HSE,9053,0.1,health
2024-11,JCS,2644,0.2,justice
2023-07,NDO,3584,0.6,defence
2023-12,EPB,2126,0.7,environment
2022-08,DTO,1250 ,-0.2,digital
2023-05,ESA,,150,education
2023-11,Revenue Collections Agency ,4379,0.8,tax_collection
2024-11,HSE,,0.7,health
Jun-2023,HSE,9022,-0.2,health
2024-2,RCA,4212,1.0,tax_collection
2022-11,HSE,N/A,1.2,health
2024-2,SBD,,0.1,welfare
2022-7,SBD,7905,0.8,welfare
2024-12,HCD,4732,0.3,housing
2024-01,JCS,2994,-0.1,justice
2022-07,HCD,-4680,0.4,housing
2024-05,JCS,2799,1.0,Justice
2023-07,NDO,3589,0.6,defence
2022-11,SBD,7936,0.6,welfare
2024-5,ITB,5099,1.2,infrastructure
2023-04,DTO,1035,1.0,digital
Jan-2024,Education Standards Authority,6258,0.2,education
2024-08,ITB,5233,-0.3,infrastructure
2024-02,JCS,2625,0.8,justice
2022-02,HSE,£9174,n/a,health
2023-03,ITB,5204,-0.2,infrastructure
2024-12,RCA,"""4,230""",0.1,tax_collection
2024-11,HSE,,0.6,health
2022-03,HSE,9185,0.6,health
2023-03,EPB,2060,0.1,environment
2022-03,SBD,8093,-0.1,welfare
05-2023,SBD,8229,,welfare
2024-01,HCD,4701,0.0,HOUSING
2022-09,SBD,7940,N/A,welfare
2022-06-01,SBD,8119 ,1.2,welfare
09-2023,EPB,2174,n/a,environment
2023-12,HCD,#N/A,#N/A,housing
2024-05,HCD,4991,0.6,housing
2023-08,DTO,1136 ,-0.2,digital
2022-05,JCS,2981,0.8,courts
2024-08,RCA,4383,0.5,TAX_COLLECTION
2024-03,housing & communities directorate,4880,0.4,housing
2022-10,ESA,6273,-0.1,education
2024-06,NDO,£3708,1.1,defence
2024-05,NATIONAL DEFENCE OFFICE,3505,-,defence
2024/04,ITB,£5125,-0.3,infrastructure
2022-04,RCA,4325,1.0,tax_collection
2023-02,JCS,2694,-0.1,justice
2024-03,ITB,5286,,infrastructure
2024-01-01,HSE,9384,0.1,health
2022-05,HSE,9290,0.9,health
2024-11,ITB,5167,,infrastructure
2024-04,DTO,n/a,0.1,digital
2024-05,RCA,4208,0.3,tax_collection
2024-07-01,SBD,8239,150,welfare
2023-07,ITB,4975,-98.9,infrastructure
12-2022,INFRASTRUCTURE & TRANSPORT BUREAU,5106,0.8,infrastructure
2023-05,RCA,4350,0.2,tax_collection
2024-04,NDO,3720,0.1,defence
2022-04,HSE,9331,-0.3,health
2024-09,ESA,,1.1,EDUCATION
2022-4, Infrastructure & Transport Bureau,5258,1.1,infrastructure
2022-04,EPB,2227M,0.8,Environment
2023-10,ITB,5273,0.9,infrastructure
2023-08,HSE,9170 ,0.9,health
2023-03,NDO,,0.3,defence
2024-11,HSE,,0.7,health
2022-06,Revenue Collections Agency ,4134,0.8,tax_collection
Nov-2023,JCS,2665,0.1,justice
2024-11,JCS,2644,0.3,justice
